Site ID;Name;Principal Investigator;Data Use Policy;AmeriFlux BASE Data;AmeriFlux FLUXNET Data;Vegetation Abbreviation (IGBP);Vegetation Description (IGBP);Climate Class Abbreviation (Koeppen);Climate Class Description (Koeppen);Mean Average Precipitation (mm);Mean Average Temperature (degrees C);Country;Latitude (degrees);Longitude (degrees);Elevation (m);Years of AmeriFlux BASE Data;AmeriFlux BASE DOI;Years of AmeriFlux FLUXNET Data;AmeriFlux FLUXNET DOI;Site Start;Site End;BASE variables available;FLUXNET variables available
US-DPW;Disney Wilderness Preserve Wetland;Charless Ross Hinkle (rhinkle@ucf.edu);CC-BY-4.0;Yes;No;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;Cwa;Humid Subtropical: dry winter, hot summer;1142;22.6;USA;28.0521;-81.4361;23;2013, 2014, 2015, 2016, 2017;https://doi.org/10.17190/AMF/1562387;;https://doi.org/;2013;2017;CH4, CO2, CO2_SIGMA, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, PA, RH, SC, SCH4, SH, SLE, SW_IN, TA, TAU, TAU_SSITC_TEST, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL;
US-DS3;Staten Rice 1;Steve Deverel (sdeverel@hydrofocus.com);CC-BY-4.0;Yes;No;CRO;Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.;Csa;Mediterranean: mild with dry, hot summer;432;16;USA;38.1235;-121.5490;-7;2021, 2022;https://doi.org/10.17190/AMF/1890490;;https://doi.org/;2021;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX;
US-EDN;Eden Landing Ecological Reserve;Patty Oikawa (Patty.oikawa@csueastbay.edu);CC-BY-4.0;Yes;Yes;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;Csa;Mediterranean: mild with dry, hot summer;;;USA;37.6156;-122.1140;;2018, 2019;https://doi.org/10.17190/AMF/1543381;2018, 2019;https://doi.org/10.17190/AMF/1832159;2018;;CH4, CO2, FC, FCH4, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL;
US-Elm;Everglades (long hydroperiod marsh);Steve Oberbauer (oberbaue@fiu.edu);CC-BY-4.0;Yes;No;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;;;;;USA;25.5519;-80.7826;0.77;2008, 2009, 2010, 2011, 2012, 2013, 2014;https://doi.org/10.17190/AMF/1246118;;https://doi.org/;2007;;APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL;
US-Esm;Everglades (short hydroperiod marsh);Steve Oberbauer (oberbaue@fiu.edu);CC-BY-4.0;Yes;No;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;;;;;USA;25.4379;-80.5946;1.07;2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015;https://doi.org/10.17190/AMF/1246119;;https://doi.org/;2007;;APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL;
US-Fmf;Flagstaff - Managed Forest;Thomas Kolb (tom.kolb@nau.edu);CC-BY-4.0;Yes;No;ENF;Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.;Csb;Mediterranean: mild with dry, warm summer;546;9.5;USA;35.1426;-111.7273;2160;2005, 2006, 2007, 2008, 2009, 2010;https://doi.org/10.17190/AMF/1246050;;https://doi.org/;2006;2010;CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS;
US-Fuf;Flagstaff - Unmanaged Forest;Thomas Kolb (tom.kolb@nau.edu);CC-BY-4.0;Yes;No;ENF;Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.;Csb;Mediterranean: mild with dry, warm summer;562;8.7;USA;35.0890;-111.7620;2180;2005, 2006, 2007, 2008, 2009, 2010;https://doi.org/10.17190/AMF/1246051;;https://doi.org/;2006;2010;CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS;
US-Fwf;Flagstaff - Wildfire;Thomas Kolb (tom.kolb@nau.edu);CC-BY-4.0;Yes;No;GRA;Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.;Csb;Mediterranean: mild with dry, warm summer;557;8.4;USA;35.4454;-111.7718;2270;2005, 2006, 2007, 2008, 2009, 2010;https://doi.org/10.17190/AMF/1246052;;https://doi.org/;2006;2010;CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS;
US-Hsm;Hill Slough Marsh;Dennis Baldocchi (baldocchi@berkeley.edu);CC-BY-4.0;Yes;No;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;Csa;Mediterranean: mild with dry, hot summer;450;15.6;USA;38.2368;-122.0212;1.113;2021, 2022;https://doi.org/10.17190/AMF/1890483;;https://doi.org/;2021;;CH4, CO2, DO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, P, PA, PCO2, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL;
US-KS1;Kennedy Space Center (slash pine);Ross Hinkle (rhinkle@ucf.edu);CC-BY-4.0;Yes;No;ENF;Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.;Cwa;Humid Subtropical: dry winter, hot summer;1266;21.90;USA;28.4583;-80.6709;1.00;2002, 2003;https://doi.org/10.17190/AMF/1246069;;https://doi.org/;2002;2006;CO2, FC, G, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, TA, USTAR, VPD, WD, WS;
US-KS2;Kennedy Space Center (scrub oak);Ross Hinkle (rhinkle@ucf.edu);CC-BY-4.0;Yes;No;CSH;Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.;Cwa;Humid Subtropical: dry winter, hot summer;1294;21.66;USA;28.6086;-80.6715;3.00;1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006;https://doi.org/10.17190/AMF/1246070;;https://doi.org/;2000;2007;CO2, FC, G, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SW_IN, TA, USTAR, VPD, WD, WS;
US-KS3;Kennedy Space Center (salt marsh);Ross Hinkle (rhinkle@ucf.edu);CC-BY-4.0;Yes;Yes;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;Cfa;Humid Subtropical: mild with no dry season, hot summer;1340;22.3;USA;28.7084;-80.7427;0;2018, 2019;https://doi.org/10.17190/AMF/1562390;2018;https://doi.org/10.17190/AMF/1881586;2017;2020;CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL;
US-Lin;Lindcove Orange Orchard;Silvano Fares (silvano.fares@cnr.it);CC-BY-4.0;Yes;No;CRO;Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.;;;;;USA;36.3566;-119.0922;131;2009, 2010;https://doi.org/10.17190/AMF/1246830;;https://doi.org/;2009;2010;CO2, FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, USTAR, VPD, WD, WS;
US-LS1;San Pedro River Lewis Springs Sacaton Grassland;Russell Scott (russ.scott@ars.usda.gov);CC-BY-4.0;Yes;No;GRA;Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.;Bwh;Desert: warm winter;288;17;USA;31.5615;-110.1403;1230;2002, 2003, 2004, 2005, 2006, 2007;https://doi.org/10.17190/AMF/1660346;;https://doi.org/;2003;2007;CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, TA, TS, T_SONIC, USTAR, WD, WS;
US-LS2;San Pedro River Lewis Springs Savanna;Russell Scott (russ.scott@ars.usda.gov);CC-BY-4.0;Yes;No;SAV;Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.;Bwh;Desert: warm winter;288;17;USA;31.5659;-110.1344;1240;2002, 2003, 2004, 2005, 2006, 2007;https://doi.org/10.17190/AMF/1660347;;https://doi.org/;2003;2007;CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS;
US-MtB;Mt Bigelow;Greg Barron-Gafford (gregbg@email.arizona.edu);CC-BY-4.0;Yes;No;ENF;Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.;Dwb;Warm Summer Continental: dry winters ;790;9.3;USA;32.4160;-110.7256;2573;2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1579717;;https://doi.org/;2009;;CO2, D_SNOW, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, VPD, WD, WS;
US-Myb;Mayberry Wetland;Dennis Baldocchi (baldocchi@berkeley.edu);CC-BY-4.0;Yes;Yes;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;Csa;Mediterranean: mild with dry, hot summer;338;15.9;USA;38.0499;-121.7650;-4;2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1246139;2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1871139;2010;;CH4, CO2, COND_WATER, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_RED_IN, SPEC_RED_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL;
US-ONA;Florida pine flatwoods;Maria Silveira (mlas@ufl.edu);CC-BY-4.0;Yes;Yes;GRA;Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.;Cfa;Humid Subtropical: mild with no dry season, hot summer;1268;22.3;USA;27.3836;-81.9509;25;2016, 2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1660350;2015, 2016, 2017, 2018, 2019, 2020;https://doi.org/10.17190/AMF/1832163;2016;;CH4, CO2, CO2_SIGMA, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SCH4, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL;
US-PAS;Florida, Paspalum notatum pasture;Rosvel Bracho (rbracho@ufl.edu);CC-BY-4.0;Yes;No;GRA;Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.;Cfa;Humid Subtropical: mild with no dry season, hot summer;1268;22.3;USA;27.3944;-81.9510;27.1;2021;https://doi.org/10.17190/AMF/1870590;;https://doi.org/;2021;;CH4, CO2, CO2_SIGMA, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SCH4, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL;
US-PSH;USSL San Joaquin Valley Pistachio High;Ray G. Anderson (ray.anderson@usda.gov);CC-BY-4.0;Yes;No;DBF;Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.;Bsk;Steppe: warm winter;191;15.6;USA;36.2347;-119.9247;70;2016, 2017;https://doi.org/10.17190/AMF/1617719;;https://doi.org/;2016;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NETRAD, PA, RH, SW_IN, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS;
US-PSL;USSL San Joaquin Valley Pistachio Low;Ray G. Anderson (ray.anderson@usda.gov);CC-BY-4.0;Yes;No;DBF;Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.;Bsk;Steppe: warm winter;311;16.7;USA;36.8276;-120.1397;65;2016, 2017;https://doi.org/10.17190/AMF/1617720;;https://doi.org/;2016;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NETRAD, PA, RH, SW_IN, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS;
US-RGB;Butte County Rice Farm;Sebastien C. Biraud (SCBiraud@lbl.gov);CC-BY-4.0;Yes;No;CRO;Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.;Csa;Mediterranean: mild with dry, hot summer;737;16;USA;39.5782;-121.8579;33.00;2021, 2022, 2023;https://doi.org/10.17190/AMF/1870591;;https://doi.org/;2021;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX;
